GO_0044215	GO_0018995
GO_0044216	GO_0043657
GO_0044217	GO_0044185
GO_0044217	GO_0044186
GO_0044217	GO_0044220
GO_0044217	GO_0044187
GO_0044217	GO_0044188
GO_0044217	GO_0044221
GO_0044217	GO_0097679
GO_0044217	GO_0044184
GO_0044217	GO_0039713
GO_0044217	GO_0039714
GO_0044217	GO_0039715
GO_0044217	GO_0020006
GO_0044217	GO_0044216
GO_0044217	GO_0020004
GO_0044217	GO_0044218
GO_0044217	GO_0020005
GO_0044217	GO_0044219
GO_0044217	GO_0044174
GO_0044217	GO_0044175
GO_0044217	GO_0044176
GO_0044217	GO_0044177
GO_0044217	GO_0019034
GO_0044217	GO_0044178
GO_0044217	GO_0085040
GO_0044217	GO_0085042
GO_0044217	GO_0044170
GO_0044217	GO_0044171
GO_0044217	GO_0044172
GO_0044217	GO_0044173
GO_0044217	GO_0085037
GO_0044217	GO_0085036
GO_0044217	GO_0085039
GO_0044217	GO_0044204
GO_0044217	GO_0039661
GO_0044217	GO_0039662
GO_0044217	GO_0072493
GO_0044217	GO_0072492
GO_0044217	GO_0072495
GO_0044217	GO_0072494
GO_0044217	GO_0020030
GO_0044217	GO_0020036
GO_0044217	GO_0097619
GO_0044217	GO_0072517
GO_0044217	GO_0044084
GO_0044217	GO_0085026
GO_0044217	GO_0043665
GO_0044217	GO_0044196
GO_0044217	GO_0044230
GO_0044217	GO_0044231
GO_0044217	GO_0044199
GO_0044217	GO_0097348
GO_0044217	GO_0043663
GO_0044217	GO_0043664
GO_0044217	GO_0044190
GO_0044217	GO_0044191
GO_0044217	GO_0039716
GO_0044217	GO_0044192
GO_0044217	GO_0044193
GO_0044217	GO_0039717
GO_0044217	GO_0039718
GO_0044217	GO_0039719
GO_0044217	GO_0046809
GO_0044217	GO_0039720
GO_0044217	GO_0039721
GO_0044217	GO_0043655
GO_0044217	GO_0044228
GO_0044217	GO_0043656
GO_0044217	GO_0043657
GO_0044217	GO_0044229
GO_0044217	GO_0043658
GO_0044217	GO_0075341
GO_0044217	GO_0044383
GO_0044217	GO_0044384
GO_0044217	GO_0044385
GO_0044217	GO_0044386
GO_0044217	GO_0033646
GO_0044217	GO_0033647
GO_0044217	GO_0033644
GO_0044217	GO_0033645
GO_0044217	GO_0033648
GO_0044217	GO_0033650
GO_0044217	GO_0035792
GO_0044217	GO_0033653
GO_0044217	GO_0033654
GO_0044217	GO_0033651
GO_0044217	GO_0033652
GO_0044217	GO_0044538
GO_0044217	GO_0044094
GO_0044217	GO_0044095
GO_0044217	GO_0033643
GO_0044217	GO_0098584
GO_0044217	GO_0098585
GO_0044217	GO_0044163
GO_0044217	GO_0044164
GO_0044217	GO_0044165
GO_0044217	GO_0044166
GO_0044217	GO_0044200
GO_0044217	GO_0044167
GO_0044217	GO_0072556
GO_0044217	GO_0044201
GO_0044217	GO_0044168
GO_0044217	GO_0044169
GO_0044217	GO_0044202
GO_0044217	GO_0044203
GO_0044217	GO_0042025
GO_0044217	GO_0044160
GO_0044217	GO_0044161
GO_0044217	GO_0044162
GO_0044217	GO_0044155
GO_0044217	GO_0044156
GO_0044217	GO_0020002
GO_0044217	GO_0020003
GO_0044217	GO_0044157
GO_0044217	GO_0044279
GO_0044217	GO_0044158
GO_0044217	GO_0044159
GO_0044217	GO_0033655
GO_0044217	GO_0039643
GO_0044217	GO_0030430
GO_0044218	GO_0044185
GO_0044218	GO_0044384
GO_0044218	GO_0044188
GO_0044218	GO_0072556
GO_0044218	GO_0044200
GO_0044218	GO_0044167
GO_0044218	GO_0044201
GO_0044218	GO_0044202
GO_0044218	GO_0044169
GO_0044218	GO_0033644
GO_0044218	GO_0033645
GO_0044218	GO_0044160
GO_0044218	GO_0044162
GO_0044218	GO_0035792
GO_0044218	GO_0033654
GO_0044218	GO_0044175
GO_0044218	GO_0044231
GO_0044218	GO_0097348
GO_0044218	GO_0044178
GO_0044218	GO_0020002
