GO_0044304	GO_0044224
GO_0043025	GO_0044225
GO_0044215	GO_0044217
GO_0044216	GO_0044218
GO_0005886	GO_0044214
GO_0033353	GO_0019284
GO_0044241	GO_0044240
GO_0044245	GO_0044244
GO_0044221	GO_0044231
GO_0043025	GO_0044226
GO_0009103	GO_0019294
GO_0044256	GO_0044254
GO_0042750	GO_0044250
GO_0005743	GO_0044284
GO_0031234	GO_0044280
GO_0044297	GO_0044298
GO_0030425	GO_0044292
GO_0009803	GO_0009802
GO_0009835	GO_0009829
GO_0009838	GO_0009830
GO_0009825	GO_0009831
GO_0010154	GO_0009835
GO_0007275	GO_0009835
GO_0000281	GO_0009833
GO_0007275	GO_0009838
GO_0005759	GO_0009841
GO_0005739	GO_0009841
GO_0009570	GO_0009840
GO_0090351	GO_0009845
GO_0009856	GO_0009846
GO_0009842	GO_0009843
GO_0009853	GO_0009854
GO_0009875	GO_0009859
GO_0003407	GO_0010842
GO_0060042	GO_0010842
GO_0048868	GO_0009860
GO_0031279	GO_0010851
GO_0071446	GO_0009863
GO_0009682	GO_0009864
GO_0009627	GO_0009862
GO_0071395	GO_0009867
GO_0009861	GO_0009868
GO_0032260	GO_0009868
GO_0009875	GO_0009865
GO_0048868	GO_0009865
GO_0009682	GO_0009866
GO_0009861	GO_0009871
GO_0009856	GO_0009875
GO_0071369	GO_0009873
GO_0009877	GO_0009878
GO_0009956	GO_0009879
GO_0009875	GO_0009876
GO_0046835	GO_0019200
GO_0046939	GO_0019201
GO_0009165	GO_0019206
GO_0042325	GO_0019207
GO_0042327	GO_0019209
GO_0048366	GO_0010865
GO_0009785	GO_0009882
GO_0009790	GO_0009880
GO_0009791	GO_0009886
GO_0009585	GO_0009883
GO_0009736	GO_0009884
GO_0048513	GO_0009887
GO_0042326	GO_0019210
GO_0010878	GO_0010879
GO_0019915	GO_0010877
GO_0005886	GO_0009897
GO_0009986	GO_0009897
GO_0005886	GO_0009898
GO_0071345	GO_0019221
GO_0007154	GO_0019226
GO_0019226	GO_0019227
GO_0019226	GO_0019228
GO_0050884	GO_0019230
GO_0044199	GO_0044200
GO_0044201	GO_0044203
GO_0015977	GO_0019253
GO_0055037	GO_0034777
GO_0030141	GO_0034774
GO_0006086	GO_0019164
GO_0044403	GO_0044110
GO_0044403	GO_0044111
GO_0061727	GO_0019172
GO_0019249	GO_0019172
GO_0005887	GO_0019183
GO_0019533	GO_0019191
GO_0044165	GO_0044166
GO_0033645	GO_0044167
GO_0044165	GO_0044167
GO_0044168	GO_0044169
GO_0044159	GO_0044160
GO_0044161	GO_0044162
GO_0033644	GO_0044155
GO_0020002	GO_0044156
GO_0044184	GO_0044185
GO_0044187	GO_0044188
GO_0006457	GO_0044183
GO_0044174	GO_0044175
GO_0033645	GO_0044178
GO_0044177	GO_0044178
GO_0044170	GO_0044171
GO_0044172	GO_0044173
GO_0033645	GO_0044199
GO_0033650	GO_0044190
GO_0044190	GO_0044191
GO_0005635	GO_0044195
GO_0009640	GO_0009704
GO_0000325	GO_0009705
GO_0007534	GO_0010708
GO_0045003	GO_0010709
GO_0006311	GO_0010704
GO_0007131	GO_0010705
GO_0071368	GO_0009736
GO_0071365	GO_0009734
GO_0071215	GO_0009738
GO_0071367	GO_0009742
GO_0071329	GO_0009745
GO_0071331	GO_0009757
GO_0032870	GO_0009755
GO_0071322	GO_0009756
GO_0019684	GO_0009765
GO_0019684	GO_0009766
GO_0019684	GO_0009767
GO_0016021	GO_0034702
GO_0019684	GO_0009777
GO_0000127	GO_0034735
GO_0000127	GO_0034734
GO_0070933	GO_0034739
GO_0009522	GO_0009782
GO_0009523	GO_0009783
GO_0007131	GO_0010772
GO_0019684	GO_0009780
GO_0006311	GO_0010773
GO_0007131	GO_0010774
GO_0031252	GO_0034743
GO_0016591	GO_0034740
GO_0006311	GO_0010779
GO_0006311	GO_0010775
GO_0006311	GO_0010776
GO_0007131	GO_0010777
GO_0007131	GO_0010778
GO_0048316	GO_0009793
GO_0048734	GO_0010782
GO_0007454	GO_0010782
GO_0048734	GO_0010783
GO_0007455	GO_0010783
GO_0007275	GO_0009791
GO_0048734	GO_0010784
GO_0007453	GO_0010784
GO_0048201	GO_0010785
GO_0007131	GO_0010780
GO_0006311	GO_0010781
GO_0048203	GO_0010786
GO_0048204	GO_0010787
GO_0048206	GO_0010788
GO_0007127	GO_0010789
GO_0007135	GO_0010790
GO_0045003	GO_0010791
GO_0045002	GO_0010792
GO_0009157	GO_0019136
GO_0031252	GO_0034746
GO_0031252	GO_0034744
GO_0031252	GO_0034745
GO_0032509	GO_0010797
GO_0016197	GO_0010797
GO_0006511	GO_0010798
GO_0005634	GO_0034753
GO_0020007	GO_0020010
GO_0034659	GO_0034658
GO_0042221	GO_0010689
GO_0020005	GO_0020006
GO_0045177	GO_0020007
GO_0020003	GO_0020004
GO_0020003	GO_0020005
GO_0020007	GO_0020008
GO_0020007	GO_0020009
GO_0020007	GO_0020025
GO_0005694	GO_0019038
GO_0034721	GO_0034647
GO_0009372	GO_0010699
GO_0020016	GO_0020018
GO_0020007	GO_0020031
GO_0019042	GO_0019043
GO_0020007	GO_0020032
GO_0019042	GO_0019044
GO_0019042	GO_0019045
GO_0019042	GO_0019046
GO_0048793	GO_0034672
GO_0034672	GO_0034671
GO_0020039	GO_0020038
GO_0043985	GO_0044020
GO_0046718	GO_0019065
GO_0043988	GO_0044022
GO_0043989	GO_0044023
GO_0019058	GO_0019068
GO_0043990	GO_0044024
GO_0019068	GO_0019069
GO_0043991	GO_0044025
GO_0043974	GO_0044017
GO_0043975	GO_0044018
GO_0046719	GO_0019060
GO_0019058	GO_0019062
GO_0019058	GO_0019075
GO_0019058	GO_0019076
GO_0043978	GO_0044012
GO_0019058	GO_0019079
GO_0043969	GO_0044013
GO_0043979	GO_0044014
GO_0043980	GO_0044015
GO_0043973	GO_0044016
GO_0019068	GO_0019070
GO_0019070	GO_0019071
GO_0019068	GO_0019072
GO_0019058	GO_0019080
GO_0019080	GO_0019081
GO_0019080	GO_0019082
GO_0019080	GO_0019083
GO_0000003	GO_0019098
GO_0071554	GO_0044036
GO_0042546	GO_0044038
GO_0019093	GO_0019090
GO_0033644	GO_0044084
GO_0042025	GO_0044094
GO_0010255	GO_0010619
GO_0006950	GO_0010610
GO_0033554	GO_0010610
GO_0048482	GO_0010622
GO_0048468	GO_0010623
GO_0090132	GO_0010631
GO_0042651	GO_0009654
GO_0009523	GO_0009654
GO_0009517	GO_0009655
GO_0048856	GO_0009653
GO_0009517	GO_0009656
GO_0009657	GO_0009668
GO_0006086	GO_0034604
GO_0009793	GO_0010654
GO_0007618	GO_0034607
GO_0015992	GO_0009672
GO_0060918	GO_0009672
GO_0007534	GO_0034636
GO_0034775	GO_0034634
GO_0007398	GO_0010668
GO_0019028	GO_0019013
GO_0007534	GO_0034624
GO_0009696	GO_0010679
GO_0034633	GO_0034632
GO_0009804	GO_0010680
GO_0009810	GO_0010681
GO_0009812	GO_0010682
GO_0007051	GO_0034631
GO_0010017	GO_0009585
GO_0007188	GO_0010578
GO_0007189	GO_0010579
GO_0042221	GO_0009593
GO_0009908	GO_0010582
GO_0048826	GO_0010588
GO_0016246	GO_0010599
GO_0020008	GO_0034591
GO_0008021	GO_0034592
GO_0034589	GO_0034590
GO_0009535	GO_0009503
GO_0009536	GO_0009508
GO_0042646	GO_0009508
GO_0055044	GO_0009506
GO_0009510	GO_0009511
GO_0009506	GO_0009510
GO_0009542	GO_0009515
GO_0034357	GO_0009521
GO_0009526	GO_0009529
GO_0051974	GO_0010521
GO_0009570	GO_0009533
GO_0009507	GO_0009534
GO_0009522	GO_0009538
GO_0009534	GO_0009535
GO_0009523	GO_0009539
GO_0009513	GO_0009541
GO_0009535	GO_0009544
GO_0009534	GO_0009543
GO_0009506	GO_0009548
GO_0009505	GO_0009549
GO_0009506	GO_0009546
GO_0009536	GO_0009547
GO_0009532	GO_0009547
GO_0009555	GO_0009556
GO_0009553	GO_0009554
GO_0009561	GO_0009559
GO_0009561	GO_0009557
GO_0009561	GO_0009558
GO_0005829	GO_0034519
GO_0009561	GO_0009562
GO_0009561	GO_0009563
GO_0009561	GO_0009560
GO_0007292	GO_0009560
GO_0009553	GO_0009561
GO_0019953	GO_0009566
GO_0009501	GO_0009568
GO_0009507	GO_0009569
GO_0042476	GO_0034505
GO_0007000	GO_0034503
GO_0000775	GO_0034506
GO_0000775	GO_0034507
GO_0009570	GO_0009573
GO_0009507	GO_0009573
GO_0015630	GO_0009574
GO_0009537	GO_0009571
GO_0009545	GO_0009577
GO_0009513	GO_0009578
GO_0009509	GO_0009575
GO_0009516	GO_0009576
GO_0098813	GO_0034510
GO_0051304	GO_0034510
GO_0048364	GO_0010449
GO_0048367	GO_0010448
GO_0005776	GO_0034423
GO_0010008	GO_0034424
GO_0010229	GO_0010450
GO_0009908	GO_0010451
GO_0033095	GO_0034422
GO_0000350	GO_0034403
GO_0007067	GO_0010458
GO_0070591	GO_0034408
GO_0038180	GO_0010465
GO_0034436	GO_0034437
GO_0071370	GO_0010476
GO_0009513	GO_0034425
GO_0034425	GO_0034426
GO_0048364	GO_0010479
GO_0043967	GO_0010485
GO_0012511	GO_0034430
GO_0009856	GO_0010483
GO_0043966	GO_0010484
GO_0048653	GO_0010480
GO_0000027	GO_0034463
GO_0000028	GO_0034463
GO_0005929	GO_0034464
GO_0000028	GO_0034462
GO_0033117	GO_0034467
GO_0020015	GO_0034468
GO_0042583	GO_0034466
GO_0005774	GO_0034448
GO_0005813	GO_0034451
GO_0030686	GO_0034456
GO_0030686	GO_0034457
GO_0005795	GO_0034469
GO_0036257	GO_0034496
GO_0000045	GO_0034497
GO_0020009	GO_0034494
GO_0000326	GO_0034495
GO_0042566	GO_0034492
GO_0042470	GO_0034493
GO_0009420	GO_0009421
GO_0009426	GO_0009427
GO_0009426	GO_0009428
GO_0030694	GO_0009426
GO_0030694	GO_0009429
GO_0009425	GO_0009431
GO_0009425	GO_0009433
GO_0048316	GO_0010431
GO_0010432	GO_0010433
GO_0006355	GO_0034401
GO_0031124	GO_0034402
GO_0010433	GO_0010434
GO_0010052	GO_0010441
GO_0010441	GO_0010442
GO_0010440	GO_0010443
GO_0010440	GO_0010444
GO_0010374	GO_0010440
GO_0048939	GO_0048940
GO_0048931	GO_0048941
GO_0048941	GO_0048942
GO_0060919	GO_0010328
GO_0010315	GO_0010329
GO_0009317	GO_0009343
GO_0048935	GO_0048936
GO_0048895	GO_0048937
GO_0007422	GO_0048934
GO_0048934	GO_0048935
GO_0001022	GO_0000999
GO_0006355	GO_0000996
GO_0048937	GO_0048938
GO_0048913	GO_0048939
GO_0006359	GO_0000995
GO_1903506	GO_0000990
GO_0048942	GO_0048932
GO_0006357	GO_0000991
GO_0048918	GO_0048933
GO_0048918	GO_0048930
GO_0048918	GO_0048931
GO_0009986	GO_0010339
GO_0009965	GO_0010338
GO_0005739	GO_0009353
GO_0005759	GO_0009353
GO_0071452	GO_0010343
GO_0048316	GO_0010344
GO_0048919	GO_0048923
GO_0048919	GO_0048924
GO_0048918	GO_0048929
GO_1903506	GO_0000988
GO_0048919	GO_0048927
GO_0048917	GO_0048928
GO_0006357	GO_0000981
GO_0010016	GO_0010346
GO_0009965	GO_0010358
GO_0071444	GO_0009373
GO_0005576	GO_0010367
GO_0048476	GO_0009379
GO_0006388	GO_0000968
GO_0009507	GO_0010368
GO_0045087	GO_0034342
GO_0010103	GO_0010376
GO_0010052	GO_0010377
GO_0045087	GO_0034340
GO_0045087	GO_0034341
GO_0000778	GO_0000941
GO_0000778	GO_0000942
GO_0000777	GO_0000940
GO_0097006	GO_0034369
GO_0016023	GO_0000938
GO_0000777	GO_0000939
GO_0038196	GO_0034348
GO_0009579	GO_0034357
GO_0005615	GO_0034358
GO_0005816	GO_0000928
GO_0032153	GO_0000923
GO_0000242	GO_0000924
GO_0005819	GO_0000922
GO_0051301	GO_0000920
GO_0000917	GO_0000918
GO_0000911	GO_0000919
GO_0061640	GO_0000916
GO_0030686	GO_0034388
GO_0000278	GO_0000917
GO_0000281	GO_0000917
GO_0061640	GO_0000917
GO_0000911	GO_0000914
GO_0061640	GO_0000912
GO_0000911	GO_0000913
GO_0051301	GO_0000910
GO_0097006	GO_0034381
GO_0019953	GO_0000909
GO_0019954	GO_0000905
GO_0097006	GO_0034377
GO_0072690	GO_0000903
GO_0048468	GO_0000904
GO_0071281	GO_0034395
GO_0031981	GO_0034399
GO_0048899	GO_0048900
GO_0016021	GO_0009319
GO_0048919	GO_0048921
GO_0048919	GO_0048922
GO_0048916	GO_0048920
GO_0010102	GO_0010311
GO_1990359	GO_0010312
GO_0048940	GO_0048914
GO_0009317	GO_0009329
GO_0048881	GO_0048915
GO_0048909	GO_0048912
GO_0048909	GO_0048913
GO_0048915	GO_0048918
GO_0048916	GO_0048919
GO_0048915	GO_0048916
GO_0048915	GO_0048917
GO_0048909	GO_0048910
GO_0048909	GO_0048911
GO_0010316	GO_0010317
GO_0010316	GO_0010318
GO_0009526	GO_0010319
GO_0048898	GO_0048909
GO_0048901	GO_0048903
GO_0048901	GO_0048904
GO_0048899	GO_0048901
GO_0048901	GO_0048902
GO_0048898	GO_0048907
GO_0048907	GO_0048908
GO_0048901	GO_0048905
GO_0048901	GO_0048906
GO_0043353	GO_0048822
GO_0043363	GO_0048823
GO_0001942	GO_0048820
GO_0030218	GO_0048821
GO_0019684	GO_0010207
GO_0009555	GO_0010208
GO_0009765	GO_0010206
GO_0040035	GO_0048815
GO_0008056	GO_0048816
GO_0007455	GO_0048816
GO_0048667	GO_0048813
GO_0016358	GO_0048813
GO_0045496	GO_0048811
GO_0031175	GO_0048812
GO_0045497	GO_0048810
GO_0048316	GO_0010214
GO_0071668	GO_0010215
GO_0007486	GO_0048804
GO_0007484	GO_0048805
GO_0007483	GO_0048805
GO_0007472	GO_0048802
GO_0007477	GO_0048802
GO_0007485	GO_0048803
GO_0030539	GO_0048808
GO_0007483	GO_0048809
GO_0007487	GO_0048809
GO_0007548	GO_0048806
GO_0030540	GO_0048807
GO_0048839	GO_0048840
GO_0060840	GO_0048844
GO_0060841	GO_0048845
GO_0008299	GO_0009240
GO_0048437	GO_0010227
GO_0048608	GO_0010228
GO_0009791	GO_0010228
GO_0009103	GO_0009243
GO_0009103	GO_0009244
GO_0048657	GO_0010234
GO_0010440	GO_0010235
GO_0034203	GO_0034202
GO_0031154	GO_0048837
GO_0043583	GO_0048839
GO_0009908	GO_0048833
GO_0048465	GO_0048834
GO_0009273	GO_0009252
GO_0009536	GO_0010240
GO_0048825	GO_0048826
GO_0048367	GO_0048827
GO_0048364	GO_0048829
GO_0048865	GO_0048866
GO_0048865	GO_0048867
GO_0048863	GO_0048864
GO_0048863	GO_0048865
GO_0070591	GO_0034217
GO_0009908	GO_0010254
GO_0071333	GO_0010255
GO_0005783	GO_0000835
GO_0005789	GO_0000835
GO_0000902	GO_0048858
GO_0048850	GO_0048851
