host ID	Host Name	cell ID	cell name	ontology	comment
 GO:0043657	host cell	GO:0005623	cell	C	
 GO:0033643	host cell part	GO:0044464	cell part	C	
 GO:0044158	host cell wall	GO:0005618	cell wall	C	
 GO:0120026	host cell uropod	GO:0001931	uropod	C	
 GO:0033651	host cell plastid	GO:0009536	plastid	C	
 GO:0042025	host cell nucleus	GO:0005634	nucleus	C	
 GO:0044164	host cell cytosol	GO:0005829	cytosol	C	
 GO:0044221	host cell synapse	GO:0045202	synapse	C	
 GO:0044228	host cell surface	GO:0009986	cell surface	C	
 GO:0033644	host cell membrane	GO:0016020	membrane	C	
 GO:0044156	host cell junction	GO:0030054	cell junction	C	
 GO:0044174	host cell endosome	GO:0005768	endosome	C	
 GO:0044187	host cell lysosome	GO:0005764	lysosome	C	
 GO:0044230	host cell envelope	GO:0031975	envelope	C	
 GO:0075341	host cell PML body	GO:0016605	PML body	C	
 GO:0030430	host cell cytoplasm	GO:0005737	cytoplasm	C	
 GO:0044196	host cell nucleolus	GO:0005730	nucleolus	C	
 GO:0044538	host cell periphery	GO:0071944	cell periphery	C	
 GO:0044157	host cell projection	GO:0042995	cell projection	C	
 GO:0044176	host cell filopodium	GO:0030175	filopodium	C	
 GO:0072495	host cell Cajal body	GO:0015030	Cajal body	C	
 GO:0033652	host cell chloroplast	GO:0009507	chloroplast	C	
 GO:0044095	host cell nucleoplasm	GO:0005654	nucleoplasm	C	
 GO:0044219	host cell plasmodesma	GO:0009506	plasmodesma	C	
 GO:0044094	host cell nuclear part	GO:0044428	nuclear part	C	
 GO:0033650	host cell mitochondrion	GO:0005739	mitochondrion	C	
 GO:0044184	host cell late endosome	GO:0005770	late endosome	C	
 GO:0033655	host cell cytoplasm part	GO:0044444	cytoplasmic part	C	
 GO:0039643	host cell viral nucleoid			C	no match
 GO:0039662	host cell outer membrane	GO:0019867	outer membrane	C	
 GO:0044178	host cell Golgi membrane	GO:0000139	Golgi membrane	C	
 GO:0044186	host cell lipid particle	GO:0005811	lipid particle	C	
 GO:0044203	host cell nuclear lamina	GO:0005652	nuclear lamina	C	
 GO:0044204	host cell nuclear matrix	GO:0016363	nuclear matrix	C	
 GO:0072493	host cell endosome lumen	GO:0031904	endosome lumen	C	
 GO:0020002	host cell plasma membrane	GO:0005904	plasma membrane	C	
 GO:0044177	host cell Golgi apparatus	GO:0005794	Golgi apparatus	C	
 GO:0033653	host cell chloroplast part	GO:0044434	chloroplast part	C	
 GO:0044199	host cell nuclear envelope	GO:0005636	nuclear envelope	C	
 GO:0044200	host cell nuclear membrane	GO:0031965	nuclear membrane	C	
 GO:0098584	host cell synaptic vesicle	GO:0008021	synaptic vesicle	C	
 GO:0044175	host cell endosome membrane	GO:0010008	endosome membrane	C	
 GO:0044229	host cell periplasmic space	GO:0042597	periplasmic space	C	
 GO:0044188	host cell lysosomal membrane	GO:0005765	lysosomal membrane	C	
 GO:0033645	host cell endomembrane system	GO:0012505	endomembrane system	C	
 GO:0044161	host cell cytoplasmic vesicle	GO:0031410	cytoplasmic vesicle	C	
 GO:0044231	host cell presynaptic membrane	GO:0042734	presynaptic membrane	C	
 GO:0020030	infected host cell surface knob	GO:0005886	plasma membrane	C	
 GO:0044084	host cell membrane pore complex	GO:0046930 	pore complex	C	
 GO:0044165	host cell endoplasmic reticulum	GO:0005783	endoplasmic reticulum	C	
 GO:0044185	host cell late endosome membrane	GO:0031902	late endosome membrane	C	
 GO:0044190	host cell mitochondrial envelope	GO:0005740	mitochondrial envelope	C	
 GO:0044191	host cell mitochondrial membrane	GO:0031966	mitochondrial membrane	C	
 GO:0044201	host cell nuclear inner membrane	GO:0005637	nuclear inner membrane	C	
 GO:0044202	host cell nuclear outer membrane	GO:0005640	nuclear outer membrane	C	
 GO:0044385	integral to membrane of host cell	GO:0016021	integral component of membrane	C	
 GO:0098585	host cell synaptic vesicle membrane	GO:0030672	synaptic vesicle membrane	C	
 GO:0072517	host cell viral assembly compartment	GO:0072516	viral assembly compartment	C	
 GO:0097348	host cell endocytic vesicle membrane	GO:0030666	endocytic vesicle membrane	C	
 GO:0044166	host cell endoplasmic reticulum lumen	GO:0016022	endoplasmic reticulum lumen	C	
 GO:0044168	host cell rough endoplasmic reticulum	GO:0005791	rough endoplasmic reticulum	C	
 GO:0044162	host cell cytoplasmic vesicle membrane	GO:0030659	cytoplasmic vesicle membrane	C	
 GO:0044170	host cell smooth endoplasmic reticulum	GO:0005790	smooth endoplasmic reticulum	C	
 GO:0044192	host cell mitochondrial inner membrane	GO:0005743	mitochondrial inner membrane	C	
