Host_Prot	Path_Prot	Similarity_Score
UNIPROT_AC:M0QY93	UNIPROT_AC:Q7CG08	0.015
UNIPROT_AC:Q15366	UNIPROT_AC:P03129	0.17
UNIPROT_AC:I3L158	UNIPROT_AC:Q7CJA6	0.0
UNIPROT_AC:B7ZAZ4	UNIPROT_AC:Q8ZIL5	0.0
UNIPROT_AC:O60391	UNIPROT_AC:P15659	0.045
UNIPROT_AC:Q76IC5	UNIPROT_AC:Q6UK10	0.01
UNIPROT_AC:Q67AN0	UNIPROT_AC:P15682	0.0
UNIPROT_AC:Q8NCI6	UNIPROT_AC:P03470	0.215
UNIPROT_AC:P46379	UNIPROT_AC:Q7CKZ7	0.065
UNIPROT_AC:Q8NH37	UNIPROT_AC:P04618	0.03
UNIPROT_AC:L8EB07	UNIPROT_AC:P43592	0.0
UNIPROT_AC:Q9BWW9	UNIPROT_AC:Q89268	0.035
UNIPROT_AC:P0CG48	UNIPROT_AC:P15705	0.085
UNIPROT_AC:P04264	UNIPROT_AC:P03470	0.03
UNIPROT_AC:O60885	UNIPROT_AC:Q77UU1	0.12
UNIPROT_AC:O95219	UNIPROT_AC:P03508	0.1
UNIPROT_AC:Q07955	UNIPROT_AC:P03430	0.055
UNIPROT_AC:Q8NAE3	UNIPROT_AC:P05780	0.0
UNIPROT_AC:O43822	UNIPROT_AC:P05928	0.06
UNIPROT_AC:Q8NF12	UNIPROT_AC:Q81L97	0.03
UNIPROT_AC:Q9NYW3	UNIPROT_AC:P24835	0.03
UNIPROT_AC:A0A0E3DBZ9	UNIPROT_AC:O56264	0.045
UNIPROT_AC:Q6FGS4	UNIPROT_AC:Q8ZHK5	0.0275
UNIPROT_AC:R9QDW3	UNIPROT_AC:Q81VN9	0.01
UNIPROT_AC:E1B2D1	UNIPROT_AC:P38994	0.055
UNIPROT_AC:P62258	UNIPROT_AC:P03454	0.17
UNIPROT_AC:Q9UHC7	UNIPROT_AC:Q8V1H6	0.03
UNIPROT_AC:Q8NCG7	UNIPROT_AC:P05919	0.08
UNIPROT_AC:P16144	UNIPROT_AC:Q5NH47	0.03
UNIPROT_AC:P01699	UNIPROT_AC:P15659	0.07
UNIPROT_AC:P45954	UNIPROT_AC:P03470	0.09
UNIPROT_AC:P54763	UNIPROT_AC:P03126	0.08
UNIPROT_AC:P42166	UNIPROT_AC:P0C739	0.065
UNIPROT_AC:Q9NVE7	UNIPROT_AC:P03427	0.115
UNIPROT_AC:Q9H9T3	UNIPROT_AC:P06428	0.07
UNIPROT_AC:Q5TAT6	UNIPROT_AC:P06429	0.045
UNIPROT_AC:J3QQT2	UNIPROT_AC:Q81WY2	0.025
UNIPROT_AC:Q9BVP2	UNIPROT_AC:P04608	0.135
UNIPROT_AC:Q7L211	UNIPROT_AC:P06921	0.01
UNIPROT_AC:Q9UII4	UNIPROT_AC:P04591	0.0675
UNIPROT_AC:Q9UK58	UNIPROT_AC:Q81V68	0.0375
UNIPROT_AC:B3KU80	UNIPROT_AC:Q05040	0.03
UNIPROT_AC:Q96MD7	UNIPROT_AC:P90495	0.0
UNIPROT_AC:Q9D531	UNIPROT_AC:Q8AZK7	0.03
UNIPROT_AC:G1ENA4	UNIPROT_AC:P54787	0.0325
UNIPROT_AC:J3QLH2	UNIPROT_AC:B4URF0	0.095
UNIPROT_AC:Q7Z4W1	UNIPROT_AC:B4URF1	0.0275
UNIPROT_AC:Q00403	UNIPROT_AC:P17473	0.1825
UNIPROT_AC:O00763	UNIPROT_AC:O41949	0.01
UNIPROT_AC:O95967	UNIPROT_AC:P03211	0.01
UNIPROT_AC:Q96GX9	UNIPROT_AC:P38182	0.075
UNIPROT_AC:Q2QLA9	UNIPROT_AC:P08392	0.075
UNIPROT_AC:P56746	UNIPROT_AC:P04608	0.03
UNIPROT_AC:P05109	UNIPROT_AC:P06929	0.06
UNIPROT_AC:Q9BUL5	UNIPROT_AC:P03419	0.025
UNIPROT_AC:Q04912	UNIPROT_AC:P31621	0.08
UNIPROT_AC:Q3BK09	UNIPROT_AC:Q5NF37	0.0325
UNIPROT_AC:P0CG48	UNIPROT_AC:P53131	0.11
UNIPROT_AC:G1EN24	UNIPROT_AC:Q5NH48	0.03
UNIPROT_AC:Q01081	UNIPROT_AC:P04618	0.1225
UNIPROT_AC:P50402	UNIPROT_AC:P03225	0.045
UNIPROT_AC:Q96FQ6	UNIPROT_AC:P0C739	0.055
UNIPROT_AC:P54259	UNIPROT_AC:P14335	0.035
UNIPROT_AC:Q96H20	UNIPROT_AC:Q04272	0.2075
UNIPROT_AC:O00624	UNIPROT_AC:P04544	0.045
UNIPROT_AC:Q9H1K1	UNIPROT_AC:P06429	0.11
UNIPROT_AC:Q12874	UNIPROT_AC:P04618	0.12
UNIPROT_AC:Q4J6C6	UNIPROT_AC:Q2PJP1	0.02
UNIPROT_AC:Q5T5S1	UNIPROT_AC:P0C739	0.0
UNIPROT_AC:P10589	UNIPROT_AC:P04608	0.17
UNIPROT_AC:Q53FE4	UNIPROT_AC:P05780	0.0
UNIPROT_AC:Q3KP31	UNIPROT_AC:Q7CGI4	0.01
UNIPROT_AC:Q9BQ90	UNIPROT_AC:P23372	0.01
UNIPROT_AC:Q96JA1	UNIPROT_AC:P23372	0.01
UNIPROT_AC:E9ABI3	UNIPROT_AC:Q8D0F7	0.0325
UNIPROT_AC:P42677	UNIPROT_AC:B9UPF3	0.01
UNIPROT_AC:P07305	UNIPROT_AC:P03454	0.025
UNIPROT_AC:F8WCZ5	UNIPROT_AC:Q81VR0	0.0
UNIPROT_AC:P0DKB5	UNIPROT_AC:P03346	0.035
UNIPROT_AC:Q7Z6L1	UNIPROT_AC:Q0A2H0	0.04
UNIPROT_AC:Q9HD45	UNIPROT_AC:B4URE8	0.055
UNIPROT_AC:Q91XD7	UNIPROT_AC:P60010	0.01
UNIPROT_AC:A6NFZ4	UNIPROT_AC:P06428	0.01
UNIPROT_AC:O95600	UNIPROT_AC:P03470	0.04
UNIPROT_AC:Q9P1C5	UNIPROT_AC:Q5NHZ4	0.13
UNIPROT_AC:Q96F05	UNIPROT_AC:Q7CK92	0.0675
UNIPROT_AC:A0A0E3DCQ6	UNIPROT_AC:Q12395	0.015
UNIPROT_AC:P48995	UNIPROT_AC:Q81LR7	0.1
UNIPROT_AC:Q7L7L0	UNIPROT_AC:O56264	0.1075
UNIPROT_AC:Q9BTN0	UNIPROT_AC:Q77UU1	0.025
UNIPROT_AC:P47897	UNIPROT_AC:P03126	0.045
UNIPROT_AC:Q8TB92	UNIPROT_AC:P03495	0.04
UNIPROT_AC:Q5R387	UNIPROT_AC:B9UPF3	0.01
UNIPROT_AC:P30307	UNIPROT_AC:Q77YF9	0.095
UNIPROT_AC:P63132	UNIPROT_AC:P0C6Z1	0.0
UNIPROT_AC:P0DN82	UNIPROT_AC:P06428	0.03
UNIPROT_AC:P0CG48	UNIPROT_AC:P31412	0.125
UNIPROT_AC:H0YHX1	UNIPROT_AC:Q7CJF5	0.03
UNIPROT_AC:Q5SVJ3	UNIPROT_AC:P04601	0.0
UNIPROT_AC:A0A087WVI3	UNIPROT_AC:P38700	0.0375
UNIPROT_AC:Q13325	UNIPROT_AC:Q1I2B5	0.025
UNIPROT_AC:Q9UBT3	UNIPROT_AC:P06484	0.01
UNIPROT_AC:Q8IYT2	UNIPROT_AC:P06465	0.03
UNIPROT_AC:P25490	UNIPROT_AC:P03259	0.0975
UNIPROT_AC:A8MVZ5	UNIPROT_AC:Q1HVI8	0.01
UNIPROT_AC:Q96CS3	UNIPROT_AC:P06927	0.085
UNIPROT_AC:P60866	UNIPROT_AC:P05777	0.0625
UNIPROT_AC:Q70EL4	UNIPROT_AC:P06428	0.03
UNIPROT_AC:O95071	UNIPROT_AC:Q89268	0.075
UNIPROT_AC:P37840	UNIPROT_AC:Q12163	0.15
UNIPROT_AC:Q9NV96	UNIPROT_AC:P0C739	0.09
UNIPROT_AC:Q9Y5M8	UNIPROT_AC:P0CK49	0.02
UNIPROT_AC:Q9Y6K9	UNIPROT_AC:Q06A28	0.0825
UNIPROT_AC:P56199	UNIPROT_AC:P04512	0.0375
UNIPROT_AC:Q9UNM6	UNIPROT_AC:B4URF7	0.1025
UNIPROT_AC:Q86VP1	UNIPROT_AC:O41947	0.01
UNIPROT_AC:Q969L2	UNIPROT_AC:P04819	0.035
UNIPROT_AC:Q9Y616	UNIPROT_AC:P10230	0.055
UNIPROT_AC:P48745	UNIPROT_AC:P05777	0.04
UNIPROT_AC:P23141	UNIPROT_AC:B4URF7	0.0775
UNIPROT_AC:P14543	UNIPROT_AC:Q81TN9	0.035
UNIPROT_AC:Q5ZEY4	UNIPROT_AC:Q5NEB6	0.03
UNIPROT_AC:Q499V8	UNIPROT_AC:P03070	0.01
UNIPROT_AC:P52272	UNIPROT_AC:P03454	0.055
UNIPROT_AC:Q96LZ3	UNIPROT_AC:P05777	0.025
UNIPROT_AC:P32780	UNIPROT_AC:P04608	0.135
UNIPROT_AC:O19754	UNIPROT_AC:P20081	0.035
UNIPROT_AC:P62847	UNIPROT_AC:P03470	0.03
UNIPROT_AC:P05388	UNIPROT_AC:Q0HD54	0.165
UNIPROT_AC:Q8IY17	UNIPROT_AC:B9UPF3	0.055
UNIPROT_AC:P35250	UNIPROT_AC:P06929	0.1475
UNIPROT_AC:O15151	UNIPROT_AC:P03255-2	0.165
UNIPROT_AC:Q9Y226	UNIPROT_AC:P06921	0.03
UNIPROT_AC:P02786	UNIPROT_AC:P04544	0.205
UNIPROT_AC:Q9UHC7	UNIPROT_AC:P36827	0.095
UNIPROT_AC:Q09472	UNIPROT_AC:P06790	0.14
UNIPROT_AC:P46019	UNIPROT_AC:P06827	0.0275
UNIPROT_AC:Q63ZY3	UNIPROT_AC:P06428	0.07
UNIPROT_AC:A0A0U3DQX3	UNIPROT_AC:P40325	0.0275
UNIPROT_AC:Q96QF0	UNIPROT_AC:P06423	0.045
UNIPROT_AC:A0A0E3DDL4	UNIPROT_AC:Q8ZIL5	0.035
UNIPROT_AC:Q99848	UNIPROT_AC:P14335	0.06
UNIPROT_AC:Q9HC78	UNIPROT_AC:P03470	0.03
UNIPROT_AC:Q15633	UNIPROT_AC:P03496	0.195
UNIPROT_AC:A0A0H4LTU8	UNIPROT_AC:Q9QLP4	0.035
UNIPROT_AC:Q5T124-6	UNIPROT_AC:P28004	0.075
UNIPROT_AC:Q712K3	UNIPROT_AC:D1LN35	0.055
UNIPROT_AC:Q9H0E2	UNIPROT_AC:P32502	0.095
UNIPROT_AC:Q13501	UNIPROT_AC:Q7CGR8	0.0675
UNIPROT_AC:Q9HBL7	UNIPROT_AC:P0CK50	0.02
UNIPROT_AC:H3BR73	UNIPROT_AC:P15682	0.06
UNIPROT_AC:Q8WWV6	UNIPROT_AC:P03496	0.03
UNIPROT_AC:Q8NBX0	UNIPROT_AC:P04544	0.025
UNIPROT_AC:P14373	UNIPROT_AC:P15705	0.075
UNIPROT_AC:A0A0A7C5M7	UNIPROT_AC:O56264	0.0275
UNIPROT_AC:Q03252	UNIPROT_AC:Q8ZIY9	0.035
UNIPROT_AC:Q8WV22	UNIPROT_AC:P03182	0.0425
UNIPROT_AC:O95456	UNIPROT_AC:P13285	0.0225
UNIPROT_AC:Q01518	UNIPROT_AC:P05777	0.0575
UNIPROT_AC:E9PL09	UNIPROT_AC:P03437	0.025
UNIPROT_AC:Q9UQ26	UNIPROT_AC:P36801	0.0575
UNIPROT_AC:Q6P2Q9	UNIPROT_AC:P04608	0.125
UNIPROT_AC:Q9NVC6	UNIPROT_AC:P04544	0.055
UNIPROT_AC:P11940	UNIPROT_AC:Q5NFB0	0.105
UNIPROT_AC:Q4G0J3	UNIPROT_AC:P04608	0.095
UNIPROT_AC:Q53QZ3	UNIPROT_AC:Q0A2H0	0.13
UNIPROT_AC:P52597	UNIPROT_AC:P04487	0.075
UNIPROT_AC:P39019	UNIPROT_AC:Q194T2	0.1575
UNIPROT_AC:U5Z7S3	UNIPROT_AC:Q2FZB8	0.025
UNIPROT_AC:D6RA40	UNIPROT_AC:P22202	0.06
UNIPROT_AC:Q13148	UNIPROT_AC:P03129	0.21
UNIPROT_AC:P49327	UNIPROT_AC:Q89268	0.06
UNIPROT_AC:Q9NR12	UNIPROT_AC:P06428	0.0425
UNIPROT_AC:Q29815	UNIPROT_AC:Q8CZU2	0.0
UNIPROT_AC:Q53GQ0	UNIPROT_AC:B4URE7	0.045
UNIPROT_AC:Q9UDY4	UNIPROT_AC:P03081	0.04
